symbol,Date,Price
MBB,2024-08-28,23.357544
MBB,2024-08-29,23.317715
MBB,2024-08-30,23.276752
MBB,2024-08-31,23.234978
MBB,2024-09-01,23.192646
MBB,2024-09-02,23.149908
MBB,2024-09-03,23.106821
MBB,2024-09-04,23.06351
MBB,2024-09-05,23.020037
MBB,2024-09-06,22.976454
MBB,2024-09-07,22.932814
MBB,2024-09-08,22.889153
MBB,2024-09-09,22.845486
MBB,2024-09-10,22.801876
MSN,2024-08-21,76.28182
MSN,2024-08-22,76.62902
MSN,2024-08-23,76.8744
MSN,2024-08-24,77.05036
MSN,2024-08-25,77.177765
MSN,2024-08-26,77.2703
MSN,2024-08-27,77.337036
MSN,2024-08-28,77.38402
MSN,2024-08-29,77.41533
MSN,2024-08-30,77.43379
MSN,2024-08-31,77.441444
MSN,2024-09-01,77.4398
MSN,2024-09-02,77.43004
MSN,2024-09-03,77.413124
MSN,2024-09-04,77.38989
MSN,2024-09-05,77.36108
MSN,2024-09-06,77.32734
MSN,2024-09-07,77.289276
MSN,2024-09-08,77.24747
MSN,2024-09-09,77.202415
MSN,2024-09-10,77.1546
MWG,2024-08-21,61.27763
MWG,2024-08-22,61.178646
MWG,2024-08-23,60.642735
MWG,2024-08-24,59.80368
MWG,2024-08-25,58.754845
MWG,2024-08-26,57.56397
MWG,2024-08-27,56.279602
MWG,2024-08-28,54.936863
MWG,2024-08-29,53.56124
MWG,2024-08-30,52.171967
MWG,2024-08-31,50.783844
MWG,2024-09-01,49.409115
MWG,2024-09-02,48.058075
MWG,2024-09-03,46.739647
MWG,2024-09-04,45.46192
MWG,2024-09-05,44.23216
MWG,2024-09-06,43.056767
MWG,2024-09-07,41.941116
MWG,2024-09-08,40.889587
MWG,2024-09-09,39.90538
MWG,2024-09-10,38.990646
NVL,2024-08-21,12.299194
NVL,2024-08-22,12.446396
NVL,2024-08-23,12.595523
NVL,2024-08-24,12.74486
NVL,2024-08-25,12.893391
NVL,2024-08-26,13.040497
NVL,2024-08-27,13.185781
NVL,2024-08-28,13.328957
NVL,2024-08-29,13.469795
NVL,2024-08-30,13.608097
NVL,2024-08-31,13.743672
NVL,2024-09-01,13.876345
NVL,2024-09-02,14.005941
NVL,2024-09-03,14.132299
NVL,2024-09-04,14.255263
NVL,2024-09-05,14.374694
NVL,2024-09-06,14.490457
NVL,2024-09-07,14.602436
NVL,2024-09-08,14.710526
NVL,2024-09-09,14.814638
NVL,2024-09-10,14.914694
PDR,2024-08-21,19.433367
PDR,2024-08-22,19.519413
PDR,2024-08-23,19.616005
PDR,2024-08-24,19.720066
PDR,2024-08-25,19.829216
PDR,2024-08-26,19.941671
PDR,2024-08-27,20.056099
PDR,2024-08-28,20.171541
PDR,2024-08-29,20.287344
PDR,2024-08-30,20.40305
PDR,2024-08-31,20.51838
PDR,2024-09-01,20.633146
PDR,2024-09-02,20.747253
PDR,2024-09-03,20.860672
PDR,2024-09-04,20.973387
PDR,2024-09-05,21.085386
PDR,2024-09-06,21.196684
PDR,2024-09-07,21.307291
PDR,2024-09-08,21.417215
PDR,2024-09-09,21.526468
PDR,2024-09-10,21.635044
PLX,2024-08-21,47.87801
PLX,2024-08-22,47.864174
PLX,2024-08-23,47.728294
PLX,2024-08-24,47.519093
PLX,2024-08-25,47.266403
PLX,2024-08-26,46.988888
PLX,2024-08-27,46.69825
PLX,2024-08-28,46.401802
PLX,2024-08-29,46.1041
PLX,2024-08-30,45.80806
PLX,2024-08-31,45.515568
PLX,2024-09-01,45.22789
PLX,2024-09-02,44.94589
PLX,2024-09-03,44.670216
PLX,2024-09-04,44.40134
PLX,2024-09-05,44.13965
PLX,2024-09-06,43.885437
PLX,2024-09-07,43.63894
PLX,2024-09-08,43.400356
PLX,2024-09-09,43.169815
PLX,2024-09-10,42.947433
PNJ,2024-08-21,97.978676
PNJ,2024-08-22,98.62099
PNJ,2024-08-23,99.02731
PNJ,2024-08-24,99.27127
PNJ,2024-08-25,99.40475
PNJ,2024-08-26,99.4641
PNJ,2024-08-27,99.47419
PNJ,2024-08-28,99.451744
PNJ,2024-08-29,99.40787
PNJ,2024-08-30,99.34986
PNJ,2024-08-31,99.28252
PNJ,2024-09-01,99.20896
PNJ,2024-09-02,99.13123
PNJ,2024-09-03,99.050705
PNJ,2024-09-04,98.96826
PNJ,2024-09-05,98.88458
PNJ,2024-09-06,98.80007
PNJ,2024-09-07,98.71509
PNJ,2024-09-08,98.62986
PNJ,2024-09-09,98.54457
PNJ,2024-09-10,98.4594
POW,2024-08-21,13.198426
POW,2024-08-22,13.172308
POW,2024-08-23,13.137597
POW,2024-08-24,13.097451
POW,2024-08-25,13.053902
POW,2024-08-26,13.008298
POW,2024-08-27,12.9615345
POW,2024-08-28,12.914206
POW,2024-08-29,12.86671
POW,2024-08-30,12.81931
POW,2024-08-31,12.772192
POW,2024-09-01,12.725479
